Temps;Déplacement;Charge
(s);(mm);(N)
"15,90000";"1,06019";"8975,49219"
"16,00000";"1,06676";"9033,12598"
"16,10000";"1,07340";"9096,50098"
"16,20000";"1,08028";"9165,40625"
"16,30000";"1,08679";"9222,27637"
"16,40000";"1,09349";"9287,06836"
"16,50000";"1,10031";"9354,54688"
"16,60000";"1,10670";"9411,44141"
"16,70000";"1,11346";"9481,00684"
"16,80000";"1,12022";"9544,09961"
"16,90000";"1,12673";"9603,14941"
"17,00000";"1,13349";"9678,52148"
"17,10000";"1,14019";"9738,42871"
"17,20000";"1,14676";"9801,33887"
"17,30000";"1,15358";"9872,30664"
"17,40000";"1,16016";"9934,99414"
"17,50000";"1,16673";"9998,51562"
"17,60000";"1,17361";"10070,46777"
"17,70000";"1,18007";"10127,43359"
"17,80000";"1,18676";"10196,87793"
"17,90000";"1,19370";"10267,30957"
"18,00000";"1,20009";"10324,97363"
"18,10000";"1,20685";"10397,00879"
"18,20000";"1,21361";"10462,27930"
"18,30000";"1,22006";"10523,50488"
"18,40000";"1,22688";"10597,75098"
"18,50000";"1,23352";"10657,11719"
"18,60000";"1,24009";"10723,93652"
"18,70000";"1,24697";"10795,54590"
"18,80000";"1,25349";"10854,72070"
"18,90000";"1,26006";"10925,09668"
"19,00000";"1,26700";"10993,86523"
"19,10000";"1,27340";"11053,74219"
"19,20000";"1,28015";"11128,06934"
"19,30000";"1,28697";"11194,20410"
"19,40000";"1,29337";"11254,09863"
"19,50000";"1,30018";"11329,43262"
"19,60000";"1,30688";"11392,05371"
"19,70000";"1,31340";"11458,50391"
"19,80000";"1,32027";"11532,92773"
"19,90000";"1,32679";"11590,94824"
"20,00000";"1,33343";"11663,46191"
"20,10000";"1,34030";"11733,87598"
"20,20000";"1,34670";"11795,31934"
"20,30000";"1,35345";"11869,28320"
"20,40000";"1,36027";"11937,90332"
"20,50000";"1,36673";"11999,86816"
"20,60000";"1,37354";"12077,19531"
"20,70000";"1,38024";"12142,52832"
"20,80000";"1,38676";"12208,10742"
"20,90000";"1,39351";"12284,53809"
"21,00000";"1,40009";"12346,02441"
"21,10000";"1,40673";"12418,70703"
"21,20000";"1,41360";"12492,95410"
"21,30000";"1,42006";"12554,47266"
"21,40000";"1,42682";"12629,80273"
"21,50000";"1,43369";"12701,43359"
"21,60000";"1,44003";"12764,96777"
"21,70000";"1,44685";"12841,14258"
"21,80000";"1,45354";"12908,22461"
"21,90000";"1,46006";"12976,64648"
"22,00000";"1,46694";"13059,36426"
"22,10000";"1,47357";"13119,19531"
"22,20000";"1,48009";"13191,12598"
"22,30000";"1,48696";"13268,41113"
"22,40000";"1,49336";"13328,31934"
"22,50000";"1,50006";"13412,13477"
"22,60000";"1,50693";"13480,88867"
"22,70000";"1,51339";"13543,91309"
"22,80000";"1,52015";"13624,77832"
"22,90000";"1,52696";"13691,77734"
"23,00000";"1,53342";"13762,80176"
"23,10000";"1,54018";"13838,17480"
"23,20000";"1,54687";"13905,37500"
"23,30000";"1,55339";"13976,17188"
"23,40000";"1,56027";"14053,94531"
"23,50000";"1,56678";"14117,42969"
"23,60000";"1,57342";"14192,68359"
"23,70000";"1,58030";"14269,42188"
"23,80000";"1,58669";"14332,32129"
"23,90000";"1,59351";"14413,50391"
"24,00000";"1,60027";"14480,53711"
"24,10000";"1,60672";"14551,94531"
"24,20000";"1,61348";"14631,08398"
"24,30000";"1,62024";"14697,73926"
"24,40000";"1,62675";"14770,94434"
"24,50000";"1,63357";"14848,03711"
"24,60000";"1,64015";"14913,87500"
"24,70000";"1,64672";"14989,42383"
"24,80000";"1,65366";"15067,90039"
"24,90000";"1,66006";"15130,35742"
"25,00000";"1,66681";"15211,03809"
"25,10000";"1,67363";"15282,81250"
"25,20000";"1,68002";"15349,62402"
"25,30000";"1,68684";"15430,12012"
"25,40000";"1,69354";"15496,93164"
"25,50000";"1,70005";"15571,21387"
"25,60000";"1,70693";"15653,14062"
"25,70000";"1,71345";"15716,49316"
"25,80000";"1,72008";"15794,85059"
"25,90000";"1,72696";"15875,48730"
"26,00000";"1,73342";"15939,42480"
"26,10000";"1,74005";"16017,87012"
"26,20000";"1,74699";"16095,03516"
"26,30000";"1,75339";"16161,37598"
"26,40000";"1,76014";"16245,09961"
"26,50000";"1,76690";"16313,52930"
"26,60000";"1,77336";"16386,64648"
"26,70000";"1,78017";"16468,43750"
"26,80000";"1,78681";"16535,15234"
"26,90000";"1,79345";"16613,33789"
"27,00000";"1,80032";"16692,91992"
"27,10000";"1,80678";"16758,33984"
"27,20000";"1,81348";"16840,36914"
"27,30000";"1,82029";"16915,15039"
"27,40000";"1,82669";"16984,46484"
"27,50000";"1,83339";"17066,69336"
"27,60000";"1,84026";"17141,37305"
"27,70000";"1,84672";"17212,03125"
"27,80000";"1,85353";"17294,18750"
"27,90000";"1,86029";"17363,88867"
"28,00000";"1,86675";"17439,56055"
"28,10000";"1,87362";"17522,55859"
"28,20000";"1,88014";"17586,94336"
"28,30000";"1,88672";"17668,04688"
"28,40000";"1,89359";"17745,72070"
"28,50000";"1,90005";"17814,33789"
"28,60000";"1,90681";"17899,55273"
"28,70000";"1,91362";"17973,01367"
"28,80000";"1,92008";"18044,31250"
"28,90000";"1,92684";"18129,06641"
"29,00000";"1,93353";"18199,19922"
"29,10000";"1,94005";"18275,15234"
"29,20000";"1,94687";"18357,25586"
"29,30000";"1,95350";"18427,47852"
"29,40000";"1,96014";"18508,52734"
"29,50000";"1,96695";"18588,70312"
"29,60000";"1,97341";"18656,72266"
"29,70000";"1,98017";"18740,01953"
"29,80000";"1,98698";"18816,60156"
"29,90000";"1,99338";"18887,31641"
"30,00000";"2,00014";"18973,86914"
"30,10000";"2,00689";"19045,82031"
"30,20000";"2,01335";"19121,15820"
"30,30000";"2,02023";"19207,41016"
"30,40000";"2,02686";"19276,68359"
"30,50000";"2,03344";"19357,04883"
"30,60000";"2,04026";"19437,66406"
"30,70000";"2,04677";"19508,40430"
"30,80000";"2,05341";"19592,13672"
"30,90000";"2,06023";"19670,03320"
"31,00000";"2,06674";"19740,87891"
"31,10000";"2,07350";"19827,00586"
"31,20000";"2,08026";"19900,77930"
"31,30000";"2,08671";"19976,32617"
"31,40000";"2,09353";"20061,34961"
"31,50000";"2,10017";"20130,16211"
"31,60000";"2,10668";"20213,20312"
"31,70000";"2,11356";"20291,83594"
"31,80000";"2,12008";"20362,69336"
"31,90000";"2,12671";"20444,78125"
"32,00000";"2,13365";"20526,63672"
"32,10000";"2,14011";"20595,16211"
"32,20000";"2,14674";"20678,38086"
"32,30000";"2,15356";"20756,36719"
