Temps;Déplacement;Charge
(s);(mm);(N)
"0,00000";"-2,49496";"1231,54285"
"0,10000";"-2,49268";"1245,87170"
"0,20000";"-2,48491";"1430,61035"
"0,30000";"-2,47666";"1621,36072"
"0,40000";"-2,46901";"1791,89575"
"0,50000";"-2,46171";"1875,35022"
"0,60000";"-2,45496";"1958,72766"
"0,70000";"-2,44820";"2031,21338"
"0,80000";"-2,44138";"2096,95410"
"0,90000";"-2,43493";"2143,66040"
"1,00000";"-2,42817";"2195,01172"
"1,10000";"-2,42136";"2246,34546"
"1,20000";"-2,41496";"2290,30371"
"1,30000";"-2,40808";"2346,17285"
"1,40000";"-2,40139";"2394,00391"
"1,50000";"-2,39487";"2441,71313"
"1,60000";"-2,38805";"2495,05591"
"1,70000";"-2,38148";"2537,77930"
"1,80000";"-2,37490";"2583,70142"
"1,90000";"-2,36808";"2633,57129"
"2,00000";"-2,36157";"2670,74194"
"2,10000";"-2,35481";"2717,08203"
"2,20000";"-2,34799";"2758,12476"
"2,30000";"-2,34160";"2792,05908"
"2,40000";"-2,33478";"2833,33105"
"2,50000";"-2,32802";"2863,96460"
"2,60000";"-2,32163";"2890,68896"
"2,70000";"-2,31475";"2924,14478"
"2,80000";"-2,30811";"2950,06177"
"2,90000";"-2,30154";"2979,89258"
"3,00000";"-2,29466";"3005,62451"
"3,10000";"-2,28814";"3021,39551"
"3,20000";"-2,28145";"3057,81909"
"3,30000";"-2,27469";"3094,61572"
"3,40000";"-2,26823";"3133,21313"
"3,50000";"-2,26148";"3183,99707"
"3,60000";"-2,25472";"3231,30347"
"3,70000";"-2,24826";"3274,62476"
"3,80000";"-2,24139";"3330,66064"
"3,90000";"-2,23481";"3376,07422"
"4,00000";"-2,22818";"3425,48853"
"4,10000";"-2,22136";"3478,44775"
"4,20000";"-2,21484";"3525,54517"
"4,30000";"-2,20821";"3575,73511"
"4,40000";"-2,20133";"3628,85669"
"4,50000";"-2,19493";"3674,10669"
"4,60000";"-2,18812";"3727,61572"
"4,70000";"-2,18142";"3779,38672"
"4,80000";"-2,17496";"3824,92627"
"4,90000";"-2,16809";"3880,83203"
"5,00000";"-2,16151";"3928,56372"
"5,10000";"-2,15493";"3976,78760"
"5,20000";"-2,14806";"4032,83057"
"5,30000";"-2,14154";"4077,39575"
"5,40000";"-2,13484";"4131,49609"
"5,50000";"-2,12803";"4183,11523"
"5,60000";"-2,12157";"4230,56104"
"5,70000";"-2,11481";"4282,28760"
"5,80000";"-2,10806";"4333,89209"
"5,90000";"-2,10160";"4379,63525"
"6,00000";"-2,09467";"4436,63574"
"6,10000";"-2,08815";"4483,38623"
"6,20000";"-2,08157";"4530,45361"
"6,30000";"-2,07470";"4587,40332"
"6,40000";"-2,06818";"4629,71680"
"6,50000";"-2,06148";"4684,55811"
"6,60000";"-2,05473";"4735,25342"
"6,70000";"-2,04827";"4778,87598"
"6,80000";"-2,04145";"4834,40869"
"6,90000";"-2,03476";"4881,60010"
"7,00000";"-2,02824";"4926,79883"
"7,10000";"-2,02136";"4981,04834"
"7,20000";"-2,01485";"5025,65186"
"7,30000";"-2,00815";"5074,66602"
"7,40000";"-2,00133";"5126,33545"
"7,50000";"-1,99494";"5170,20361"
"7,60000";"-1,98818";"5222,55957"
"7,70000";"-1,98142";"5271,73340"
"7,80000";"-1,97497";"5317,03711"
"7,90000";"-1,96803";"5371,24365"
"8,00000";"-1,96169";"5418,56348"
"8,10000";"-1,95482";"5464,95410"
"8,20000";"-1,94800";"5523,69336"
"8,30000";"-1,94154";"5565,77051"
"8,40000";"-1,93491";"5614,97510"
"8,50000";"-1,92803";"5673,90674"
"8,60000";"-1,92151";"5713,53516"
"8,70000";"-1,91482";"5765,57959"
"8,80000";"-1,90800";"5817,53906"
"8,90000";"-1,90155";"5863,04248"
"9,00000";"-1,89479";"5917,11377"
