Temps;Déplacement;Charge
(s);(mm);(N)
"15,90000";"1,06025";"8578,91699"
"16,00000";"1,06670";"8645,38574"
"16,10000";"1,07352";"8675,90137"
"16,20000";"1,08028";"8765,52148"
"16,30000";"1,08655";"8778,56250"
"16,40000";"1,09361";"8886,63477"
"16,50000";"1,10019";"8885,75977"
"16,60000";"1,10676";"8979,94824"
"16,70000";"1,11364";"9022,60059"
"16,80000";"1,12004";"9078,57422"
"16,90000";"1,12673";"9172,82227"
"16,97000";"1,13158";"8907,77734"
"17,07000";"1,13815";"8922,39258"
"17,17000";"1,14491";"9119,26074"
"17,27000";"1,15149";"9280,03613"
"17,37000";"1,15812";"9266,05957"
"17,47000";"1,16488";"9403,90820"
"17,57000";"1,17128";"9489,95508"
"17,67000";"1,17809";"9574,75586"
"17,77000";"1,18497";"9648,43262"
"17,87000";"1,19137";"9715,23438"
"17,97000";"1,19824";"9790,49609"
"18,07000";"1,20494";"9851,02246"
"18,17000";"1,21139";"9916,62500"
"18,27000";"1,21827";"9988,60254"
"18,37000";"1,22479";"10044,47266"
"18,47000";"1,23142";"10105,39062"
"18,57000";"1,23824";"10154,82617"
"18,67000";"1,24476";"10227,28809"
"18,77000";"1,25151";"10266,58398"
"18,87000";"1,25833";"10358,08105"
"18,97000";"1,26473";"10419,22070"
"19,07000";"1,27154";"10365,38965"
"19,17000";"1,27824";"10513,36328"
"19,27000";"1,28470";"10499,43652"
"19,37000";"1,29157";"10624,65625"
"19,47000";"1,29815";"10707,77930"
"19,57000";"1,30479";"10773,93066"
"19,67000";"1,31166";"10731,88770"
"19,77000";"1,31812";"10873,81348"
"19,87000";"1,32482";"10879,63086"
"19,97000";"1,33157";"10988,46289"
"20,07000";"1,33797";"11074,27930"
"20,17000";"1,34485";"11112,54199"
"20,27000";"1,35154";"11142,59473"
"20,37000";"1,35806";"11248,57031"
"20,47000";"1,36493";"11257,53320"
"20,57000";"1,37151";"11355,52344"
"20,67000";"1,37803";"11427,07324"
"20,77000";"1,38472";"11476,37305"
"20,87000";"1,39142";"11425,17090"
"20,97000";"1,39806";"11578,51660"
"21,07000";"1,40493";"11559,21777"
"21,17000";"1,41139";"11664,54883"
"21,27000";"1,41821";"11756,75781"
"21,37000";"1,42490";"11812,29102"
"21,47000";"1,43136";"11864,64941"
"21,57000";"1,43824";"11871,59082"
"21,67000";"1,44481";"11984,05762"
"21,77000";"1,45139";"11951,63379"
"21,87000";"1,45827";"12078,23340"
"21,97000";"1,46484";"12157,13477"
"22,07000";"1,47142";"12215,26367"
"22,17000";"1,47835";"12186,00488"
"22,19600";"1,48003";"11930,69141"
"22,29600";"1,48661";"12057,32422"
"22,39600";"1,49306";"12249,42773"
"22,49600";"1,49994";"12392,12891"
"22,59600";"1,50646";"12333,28906"
"22,69600";"1,51315";"12476,06250"
"22,79600";"1,51997";"12565,89258"
"22,89600";"1,52649";"12627,93848"
"22,99600";"1,53324";"12711,26758"
"23,09600";"1,54000";"12781,49902"
"23,19600";"1,54646";"12843,50000"
"23,29600";"1,55327";"12909,13086"
"23,39600";"1,55991";"12966,30957"
"23,49600";"1,56642";"13034,14844"
"23,59600";"1,57336";"13096,46387"
"23,69600";"1,57982";"13163,00586"
"23,79600";"1,58645";"13248,63867"
"23,89600";"1,59333";"13252,20312"
"23,91600";"1,59465";"12998,37500"
"24,01600";"1,60122";"13007,24902"
"24,11600";"1,60780";"13211,36621"
"24,21600";"1,61462";"13379,74414"
"24,31600";"1,62113";"13380,76562"
"24,41600";"1,62789";"13481,36914"
"24,51600";"1,63464";"13597,23926"
"24,61600";"1,64110";"13679,23730"
"24,71600";"1,64786";"13760,36230"
"24,81600";"1,65461";"13841,49805"
"24,91600";"1,66107";"13918,84668"
"25,01600";"1,66795";"14001,64648"
"25,11600";"1,67458";"14064,24609"
"25,21600";"1,68116";"14142,49121"
"25,31600";"1,68804";"14226,36230"
"25,41600";"1,69455";"14279,55371"
"25,51600";"1,70119";"14371,24023"
"25,61600";"1,70801";"14456,34180"
"25,68200";"1,71225";"14193,84668"
"25,78200";"1,71907";"14255,75293"
"25,88200";"1,72558";"14443,32324"
"25,98200";"1,73228";"14602,51953"
"26,08200";"1,73916";"14588,11426"
"26,18200";"1,74555";"14708,79297"
"26,28200";"1,75231";"14835,60547"
"26,38200";"1,75901";"14925,31445"
"26,48200";"1,76546";"15003,32031"
"26,58200";"1,77228";"15099,32715"
"26,68200";"1,77898";"15169,22070"
"26,78200";"1,78555";"15246,37012"
"26,88200";"1,79243";"15339,20801"
"26,98200";"1,79895";"15408,19434"
"27,08200";"1,80552";"15491,93555"
"27,18200";"1,81240";"15582,17383"
"27,28200";"1,81886";"15587,12402"
"27,38200";"1,82561";"15483,56445"
"27,48200";"1,83237";"15662,16504"
"27,58200";"1,83889";"15807,98730"
"27,68200";"1,84570";"15795,80176"
"27,78200";"1,85234";"15912,94824"
"27,88200";"1,85886";"16040,34473"
"27,98200";"1,86573";"16151,82715"
"28,08200";"1,87225";"16221,34863"
"28,18200";"1,87888";"16292,06055"
"28,28200";"1,88576";"16388,13672"
"28,38200";"1,89222";"16355,66504"
"28,39200";"1,89300";"16064,12500"
"28,40200";"1,89377";"15773,09180"
"28,41600";"1,89479";"15504,45508"
"28,51600";"1,90125";"15625,18457"
"28,61600";"1,90800";"15853,41699"
"28,71600";"1,91458";"16066,79688"
"28,81600";"1,92110";"16280,73730"
"28,91600";"1,92791";"16474,78711"
"29,01600";"1,93443";"16641,94336"
"29,11600";"1,94107";"16789,31641"
"29,14600";"1,94310";"16520,82031"
"29,16400";"1,94435";"16256,50488"
"29,26400";"1,95111";"16372,99609"
"29,36400";"1,95787";"16583,12305"
"29,46400";"1,96426";"16783,61523"
"29,56400";"1,97108";"16965,65234"
"29,66400";"1,97778";"17112,89453"
"29,76400";"1,98429";"17240,53906"
"29,86400";"1,99111";"17367,33398"
"29,96400";"1,99763";"17489,95117"
"30,06400";"2,00432";"17617,51758"
"30,16400";"2,01120";"17718,59375"
"30,26400";"2,01766";"17821,59180"
"30,36400";"2,02441";"17902,29297"
"30,46400";"2,03123";"17975,46875"
"30,56400";"2,03763";"18110,61133"
"30,66400";"2,04438";"18185,68945"
"30,68200";"2,04552";"17931,00781"
"30,78200";"2,05245";"17881,35742"
"30,88200";"2,05885";"18083,92188"
"30,98200";"2,06561";"18278,84570"
"31,08200";"2,07236";"18431,40625"
"31,18200";"2,07888";"18560,10938"
"31,21600";"2,08127";"18293,05078"
"31,23200";"2,08247";"18018,28711"
"31,33200";"2,08893";"18081,75781"
"31,43200";"2,09568";"18304,26367"
"31,53200";"2,10226";"18502,11523"
"31,63200";"2,10878";"18685,84570"
"31,73200";"2,11565";"18849,91016"
"31,83200";"2,12217";"18985,45117"
