Temps;Déplacement;Charge
(s);(mm);(N)
"16,10000";"1,07334";"9176,43848"
"16,20000";"1,08010";"9257,93652"
"16,30000";"1,08679";"9325,63965"
"16,40000";"1,09337";"9399,58594"
"16,50000";"1,10025";"9477,08984"
"16,60000";"1,10676";"9543,70020"
"16,70000";"1,11346";"9620,15527"
"16,80000";"1,12028";"9696,16406"
"16,90000";"1,12667";"9763,10938"
"17,00000";"1,13331";"9840,41992"
"17,10000";"1,14025";"9914,23145"
"17,20000";"1,14670";"9983,57422"
"17,30000";"1,15346";"10061,06445"
"17,40000";"1,16022";"10132,57324"
"17,50000";"1,16667";"10202,35645"
"17,60000";"1,17355";"10281,96289"
"17,70000";"1,18007";"10346,50098"
"17,80000";"1,18664";"10421,64355"
"17,90000";"1,19358";"10498,00098"
"18,00000";"1,20003";"10563,70020"
"18,10000";"1,20679";"10642,13086"
"18,20000";"1,21367";"10715,54297"
"18,30000";"1,22000";"10783,48828"
"18,40000";"1,22676";"10862,16992"
"18,50000";"1,23352";"10932,08789"
"18,60000";"1,24003";"11000,71484"
"18,70000";"1,24679";"11081,54688"
"18,80000";"1,25349";"11147,84766"
"18,90000";"1,26006";"11221,98145"
"19,00000";"1,26694";"11300,44727"
"19,10000";"1,27340";"11364,23730"
"19,20000";"1,28009";"11442,82715"
"19,30000";"1,28691";"11516,56738"
"19,40000";"1,29331";"11582,49316"
"19,50000";"1,30006";"11663,32227"
"19,60000";"1,30682";"11734,31934"
"19,70000";"1,31334";"11803,24707"
"19,80000";"1,32015";"11886,52344"
"19,90000";"1,32685";"11954,77734"
"20,00000";"1,33343";"12029,18848"
"20,10000";"1,34024";"12106,42578"
"20,20000";"1,34676";"12174,22266"
"20,30000";"1,35334";"12250,10840"
"20,40000";"1,36021";"12324,96387"
"20,50000";"1,36673";"12391,89551"
"20,60000";"1,37342";"12470,00879"
"20,70000";"1,38024";"12541,87988"
"20,80000";"1,38676";"12613,24023"
"20,90000";"1,39345";"12690,87988"
"21,00000";"1,40015";"12760,04004"
"21,10000";"1,40661";"12833,12012"
"21,20000";"1,41348";"12910,52441"
"21,30000";"1,42006";"12978,41992"
"21,40000";"1,42670";"13052,79102"
"21,50000";"1,43357";"13131,16406"
"21,60000";"1,44003";"13197,42676"
"21,70000";"1,44673";"13272,70312"
"21,80000";"1,45354";"13348,42773"
"21,90000";"1,46000";"13413,42676"
"22,00000";"1,46676";"13493,69922"
"22,10000";"1,47345";"13561,50098"
"22,20000";"1,48003";"13633,95898"
"22,30000";"1,48685";"13712,94238"
"22,40000";"1,49348";"13776,42480"
"22,50000";"1,50006";"13854,89844"
"22,60000";"1,50687";"13930,78906"
"22,70000";"1,51333";"13995,27637"
"22,80000";"1,52003";"14074,74902"
"22,90000";"1,52696";"14149,00098"
"23,00000";"1,53336";"14216,58887"
"23,10000";"1,54012";"14295,23828"
"23,20000";"1,54687";"14365,08398"
"23,30000";"1,55357";"14427,73145"
"23,40000";"1,56009";"14502,09473"
"23,50000";"1,56672";"14575,86133"
"23,60000";"1,57330";"14640,46191"
"23,70000";"1,58024";"14720,99609"
"23,80000";"1,58669";"14789,40234"
"23,90000";"1,59339";"14869,06250"
"24,00000";"1,60027";"14941,53125"
"24,10000";"1,60666";"15008,02148"
"24,20000";"1,61342";"15088,06348"
"24,30000";"1,62024";"15159,01367"
"24,40000";"1,62669";"15229,94531"
"24,50000";"1,63345";"15307,85254"
"24,60000";"1,64015";"15375,92383"
"24,70000";"1,64672";"15448,11621"
"24,80000";"1,65366";"15540,89160"
"24,90000";"1,66012";"15592,92676"
"25,00000";"1,66675";"15675,82031"
"25,10000";"1,67363";"15755,30762"
"25,20000";"1,68002";"15818,96875"
"25,30000";"1,68672";"15895,82812"
"25,40000";"1,69360";"15971,47852"
"25,50000";"1,70005";"16038,81445"
"25,60000";"1,70675";"16117,20801"
"25,70000";"1,71357";"16189,56055"
"25,80000";"1,72008";"16259,48535"
"25,90000";"1,72684";"16337,85059"
"26,00000";"1,73348";"16404,69336"
"26,10000";"1,73999";"16480,10742"
"26,20000";"1,74687";"16556,54688"
"26,30000";"1,75339";"16622,31445"
"26,40000";"1,76002";"16701,36328"
"26,50000";"1,76690";"16774,45117"
"26,60000";"1,77342";"16843,54102"
"26,70000";"1,78005";"16920,57812"
"26,80000";"1,78687";"16992,06445"
"26,90000";"1,79333";"17061,33594"
"27,00000";"1,80008";"17141,51953"
"27,10000";"1,80684";"17210,17383"
"27,20000";"1,81342";"17281,32617"
"27,30000";"1,82023";"17360,94727"
"27,40000";"1,82675";"17425,79883"
"27,50000";"1,83339";"17503,54688"
"27,60000";"1,84026";"17578,45117"
"27,70000";"1,84672";"17642,34180"
"27,80000";"1,85341";"17724,34570"
"27,90000";"1,86023";"17795,32227"
"28,00000";"1,86669";"17863,89062"
"28,10000";"1,87350";"17943,08789"
"28,20000";"1,88020";"18010,08203"
"28,30000";"1,88672";"18082,97852"
"28,40000";"1,89353";"18161,85742"
"28,50000";"1,90005";"18227,92969"
"28,60000";"1,90669";"18303,75195"
"28,70000";"1,91356";"18377,83008"
"28,80000";"1,92008";"18444,77930"
"28,90000";"1,92678";"18523,60156"
"29,00000";"1,93359";"18596,35547"
"29,10000";"1,93999";"18663,59180"
"29,20000";"1,94669";"18743,31445"
"29,30000";"1,95344";"18813,61719"
"29,40000";"1,95996";"18883,87695"
"29,50000";"1,96684";"18963,06641"
"29,60000";"1,97347";"19030,56055"
"29,70000";"1,98005";"19106,83008"
"29,80000";"1,98686";"19185,10547"
"29,90000";"1,99338";"19248,04297"
"30,00000";"2,00002";"19327,46094"
"30,10000";"2,00683";"19401,61328"
"30,20000";"2,01323";"19469,70703"
"30,30000";"2,02005";"19547,42383"
"30,40000";"2,02686";"19620,05273"
"30,50000";"2,03332";"19689,02734"
"30,60000";"2,04014";"19769,87500"
"30,70000";"2,04683";"19834,77344"
"30,80000";"2,05335";"19908,67188"
"30,90000";"2,06017";"19984,72852"
"31,00000";"2,06668";"20047,27148"
"31,10000";"2,07332";"20127,61328"
"31,20000";"2,08026";"20199,76758"
"31,30000";"2,08671";"20265,24609"
"31,40000";"2,09341";"20341,71680"
"31,50000";"2,10029";"20415,83203"
"31,60000";"2,10668";"20482,28320"
"31,70000";"2,11350";"20559,66211"
"31,80000";"2,12014";"20625,01367"
"31,90000";"2,12665";"20697,60352"
"32,00000";"2,13353";"20778,17188"
"32,10000";"2,14005";"20834,97461"
"32,20000";"2,14674";"20914,09375"
"32,30000";"2,15362";"20984,73828"
"32,40000";"2,16007";"21050,60156"
"32,50000";"2,16677";"21126,78320"
"32,60000";"2,17353";"21198,21680"
"32,70000";"2,17998";"21262,53516"
"32,80000";"2,18674";"21339,82422"
"32,90000";"2,19350";"21407,85547"
"33,00000";"2,20001";"21476,93359"
"33,10000";"2,20683";"21551,86133"
"33,20000";"2,21347";"21617,47852"
"33,30000";"2,22004";"21692,33203"
"33,40000";"2,22692";"21767,08398"
"33,50000";"2,23326";"21825,71680"
"33,60000";"2,24007";"21904,87891"
"33,70000";"2,24695";"21973,41406"
"33,80000";"2,25335";"22039,40234"
"33,90000";"2,26010";"22113,69727"
"34,00000";"2,26692";"22181,27344"
"34,10000";"2,27338";"22249,37891"
"34,20000";"2,28013";"22324,20508"
"34,30000";"2,28683";"22387,21289"
"34,40000";"2,29335";"22456,34766"
"34,50000";"2,30022";"22528,34375"
"34,60000";"2,30674";"22589,61133"
"34,70000";"2,31343";"22666,08789"
"34,80000";"2,32031";"22734,92188"
"34,90000";"2,32665";"22795,49609"
"35,00000";"2,33340";"22870,65430"
"35,10000";"2,34022";"22936,08984"
"35,20000";"2,34668";"22995,32227"
"35,30000";"2,35349";"23067,44531"
"35,40000";"2,36019";"23132,30273"
"35,50000";"2,36671";"23203,76953"
"35,60000";"2,37352";"23276,20312"
"35,70000";"2,38010";"23334,34961"
"35,80000";"2,38674";"23405,11523"
"35,90000";"2,39355";"23470,23242"
"36,00000";"2,39995";"23526,18359"
