Temps;Déplacement;Charge
(s);(mm);(N)
"15,90000";"1,06013";"7284,02197"
"16,00000";"1,06682";"7338,30420"
"16,10000";"1,07334";"7393,05371"
"16,20000";"1,08022";"7458,41650"
"16,30000";"1,08673";"7507,41895"
"16,40000";"1,09343";"7569,89502"
"16,50000";"1,10025";"7629,95557"
"16,60000";"1,10676";"7684,15332"
"16,70000";"1,11340";"7746,42432"
"16,80000";"1,12022";"7804,81641"
"16,90000";"1,12667";"7860,71484"
"17,00000";"1,13343";"7923,50000"
"17,10000";"1,14019";"7981,34521"
"17,20000";"1,14670";"8036,09961"
"17,30000";"1,15352";"8103,47070"
"17,40000";"1,16010";"8157,41650"
"17,50000";"1,16673";"8217,82324"
"17,60000";"1,17361";"8281,58203"
"17,70000";"1,18001";"8333,96875"
"17,80000";"1,18676";"8401,57129"
"17,90000";"1,19364";"8463,10254"
"18,00000";"1,20003";"8517,54492"
"18,10000";"1,20679";"8585,66895"
"18,20000";"1,21349";"8643,17969"
"18,30000";"1,22006";"8703,35449"
"18,40000";"1,22688";"8771,67480"
"18,50000";"1,23346";"8828,38477"
"18,60000";"1,24003";"8889,42090"
"18,70000";"1,24691";"8963,34863"
"18,80000";"1,25343";"9013,86621"
"18,90000";"1,26012";"9080,04297"
"19,00000";"1,26700";"9145,19238"
"19,10000";"1,27334";"9200,90820"
"19,20000";"1,28015";"9269,80371"
"19,30000";"1,28691";"9330,52832"
"19,40000";"1,29331";"9388,47949"
"19,50000";"1,30012";"9457,84863"
"19,60000";"1,30682";"9519,02832"
"19,70000";"1,31334";"9580,23242"
"19,80000";"1,32021";"9649,29395"
"19,90000";"1,32679";"9706,61328"
"20,00000";"1,33337";"9771,10449"
"20,10000";"1,34024";"9838,84375"
"20,20000";"1,34664";"9895,43262"
"20,30000";"1,35339";"9963,63965"
"20,40000";"1,36027";"10028,46484"
"20,50000";"1,36667";"10088,44629"
"20,60000";"1,37354";"10159,95898"
"20,70000";"1,38024";"10219,61914"
"20,80000";"1,38670";"10281,36230"
"20,90000";"1,39351";"10353,56348"
"21,00000";"1,40009";"10413,30273"
"21,10000";"1,40667";"10477,63672"
"21,20000";"1,41360";"10549,49121"
"21,30000";"1,42006";"10608,03027"
"21,40000";"1,42676";"10677,73730"
"21,50000";"1,43363";"10744,57031"
"21,60000";"1,44003";"10802,21973"
"21,70000";"1,44679";"10875,60742"
"21,80000";"1,45354";"10936,80859"
"21,90000";"1,46000";"11000,66602"
"22,00000";"1,46682";"11073,44141"
"22,10000";"1,47351";"11132,81055"
"22,20000";"1,48003";"11198,62891"
"22,30000";"1,48690";"11269,63379"
"22,40000";"1,49342";"11329,86816"
"22,50000";"1,50006";"11399,25977"
"22,60000";"1,50687";"11467,28223"
"22,70000";"1,51333";"11528,89746"
"22,80000";"1,52015";"11600,26660"
"22,90000";"1,52690";"11665,71875"
"23,00000";"1,53336";"11727,19336"
"23,10000";"1,54018";"11801,46973"
"23,20000";"1,54681";"11863,42578"
"23,30000";"1,55333";"11929,20410"
"23,40000";"1,56021";"12003,39746"
"23,50000";"1,56672";"12062,24609"
"23,60000";"1,57342";"12135,58398"
"23,70000";"1,58024";"12207,61035"
"23,80000";"1,58663";"12268,42285"
"23,90000";"1,59339";"12343,10156"
"24,00000";"1,60021";"12411,43555"
"24,10000";"1,60666";"12472,76855"
"24,20000";"1,61348";"12548,57031"
"24,30000";"1,62018";"12613,01074"
"24,40000";"1,62663";"12679,08105"
"24,50000";"1,63351";"12757,27148"
"24,60000";"1,64015";"12818,83105"
"24,70000";"1,64666";"12889,52246"
"24,80000";"1,65354";"12962,40137"
"24,90000";"1,66006";"13024,07422"
"25,00000";"1,66669";"13099,88672"
"25,10000";"1,67357";"13167,95020"
"25,20000";"1,68002";"13233,64551"
"25,30000";"1,68678";"13307,09277"
"25,40000";"1,69360";"13376,29297"
"25,50000";"1,69999";"13441,14941"
"25,60000";"1,70687";"13518,50781"
"25,70000";"1,71351";"13581,43555"
"25,80000";"1,71996";"13649,84961"
"25,90000";"1,72690";"13726,80664"
"26,00000";"1,73336";"13786,65234"
"26,10000";"1,74005";"13865,27441"
"26,20000";"1,74693";"13934,16699"
"26,30000";"1,75339";"13999,09668"
"26,40000";"1,76014";"14077,95508"
"26,50000";"1,76684";"14142,25879"
"26,60000";"1,77330";"14211,07031"
"26,70000";"1,78017";"14285,51660"
"26,80000";"1,78681";"14352,58105"
"26,90000";"1,79339";"14424,77246"
"27,00000";"1,80026";"14500,76855"
"27,10000";"1,80678";"14564,71094"
"27,20000";"1,81342";"14642,13574"
"27,30000";"1,82029";"14714,85938"
"27,40000";"1,82663";"14778,53223"
"27,50000";"1,83344";"14858,95996"
"27,60000";"1,84020";"14928,25781"
"27,70000";"1,84666";"14996,04688"
"27,80000";"1,85353";"15078,21484"
"27,90000";"1,86023";"15142,44238"
"28,00000";"1,86669";"15212,49902"
"28,10000";"1,87350";"15294,13770"
"28,20000";"1,88014";"15358,90234"
"28,30000";"1,88672";"15432,33398"
"28,40000";"1,89353";"15508,32422"
"28,50000";"1,90005";"15574,70898"
"28,60000";"1,90675";"15652,88477"
"28,70000";"1,91362";"15724,49609"
"28,80000";"1,92002";"15790,31348"
"28,90000";"1,92684";"15873,07910"
"29,00000";"1,93353";"15941,83594"
"29,10000";"1,93999";"16011,03125"
"29,20000";"1,94681";"16091,33496"
"29,30000";"1,95344";"16157,01465"
"29,40000";"1,96002";"16231,67578"
"29,50000";"1,96689";"16309,44141"
"29,60000";"1,97341";"16375,84277"
"29,70000";"1,98011";"16452,87500"
"29,80000";"1,98692";"16525,16797"
"29,90000";"1,99332";"16594,42578"
"30,00000";"2,00008";"16675,01172"
"30,10000";"2,00683";"16742,95312"
"30,20000";"2,01335";"16815,46875"
"30,30000";"2,02023";"16898,72070"
"30,40000";"2,02680";"16964,13477"
"30,50000";"2,03338";"17038,56641"
"30,60000";"2,04026";"17119,30664"
"30,70000";"2,04677";"17187,15039"
"30,80000";"2,05335";"17264,77539"
"30,90000";"2,06023";"17339,61719"
"31,00000";"2,06668";"17408,11523"
"31,10000";"2,07344";"17491,10742"
"31,20000";"2,08026";"17562,32617"
"31,30000";"2,08671";"17632,99609"
"31,40000";"2,09353";"17717,52344"
"31,50000";"2,10011";"17784,79297"
"31,60000";"2,10668";"17859,48047"
"31,70000";"2,11350";"17942,46875"
"31,80000";"2,12008";"18010,98828"
"31,90000";"2,12671";"18088,66797"
"32,00000";"2,13365";"18168,28320"
"32,10000";"2,14005";"18234,49219"
"32,20000";"2,14674";"18318,95898"
"32,30000";"2,15356";"18390,92969"
"32,40000";"2,16001";"18464,58594"
"32,50000";"2,16677";"18546,26758"
"32,60000";"2,17353";"18619,30664"
"32,70000";"2,18004";"18692,96484"
"32,80000";"2,18686";"18774,77539"
"32,90000";"2,19344";"18845,58594"
"33,00000";"2,20001";"18922,63672"
"33,10000";"2,20689";"19004,56055"
"33,20000";"2,21329";"19070,81055"
"33,30000";"2,22004";"19155,34961"
"33,40000";"2,22686";"19228,64062"
"33,50000";"2,23332";"19301,09180"
"33,60000";"2,24013";"19386,45703"
"33,70000";"2,24683";"19458,28125"
"33,80000";"2,25335";"19534,10547"
"33,90000";"2,26016";"19616,31641"
"34,00000";"2,26680";"19687,47852"
"34,10000";"2,27332";"19765,30078"
"34,20000";"2,28025";"19848,06641"
"34,30000";"2,28671";"19918,20703"
"34,40000";"2,29335";"19999,99805"
"34,50000";"2,30028";"20080,42578"
"34,60000";"2,30668";"20150,11914"
"34,70000";"2,31343";"20236,98828"
"34,80000";"2,32019";"20306,95508"
"34,90000";"2,32671";"20383,55273"
"35,00000";"2,33352";"20467,12109"
"35,10000";"2,34004";"20536,27539"
"35,20000";"2,34668";"20617,53516"
"35,30000";"2,35361";"20700,25586"
"35,40000";"2,36013";"20771,04688"
"35,50000";"2,36677";"20851,64453"
"35,60000";"2,37358";"20928,77539"
